Total images: 18594
Total colony/year combos: 1041

Colony                                             Year   Count
Mink_Island                                        2015   8
New_Harbor_Island_1                                2015   8
Pelican_Island                                     2010   8
Pelican_Island_Spoil_B                             2021   8
Rollover_Bay_A                                     2010   8
Second_Chain_of_Islands_G                          2021   8
Smith_Point_Island                                 2010   8
West_Bay_Bird_Island_New                           2021   8
Apalachicola_Bird_Island                           2010   7
Arcadia_Reef_B                                     2010   7
Audubon_Island                                     2010   7
Barataria_Bay_5_AB                                 2013   7
Bastian_Island                                     2018   7
Bayou_Platte_Island_North                          2015   7
Bayou_Platte_Island_North                          2018   7
Bay_Chaland_Island                                 2015   7
Beauregard_Island                                  2012   7
Biloxi_North_10_A                                  2021   7
Biloxi_North_10_B                                  2012   7
Biloxi_North_27                                    2013   7
Biloxi_North_28                                    2011   7
Biloxi_North_31                                    2010   7
Biloxi_North_35                                    2013   7
Biloxi_North_38                                    2013   7
Biloxi_North_8                                     2013   7
Biloxi_South_10_A                                  2011   7
Biloxi_South_10_A                                  2012   7
Biloxi_South_10_C                                  2012   7
Biloxi_South_11                                    2010   7
Biloxi_South_11                                    2013   7
Biloxi_South_21                                    2021   7
Biloxi_South_9                                     2011   7
Birdsfoot_East_4                                   2015   7
Birdsfoot_East_4_A                                 2013   7
Birdsfoot_West_6_A                                 2015   7
Birdsfoot_West_6_B                                 2015   7
Cape_Haze_Islet                                    2010   7
Cat_Bay_North_Island                               2015   7
Cat_Island                                         2021   7
Chandeleur_North_B                                 2012   7
Chandeleur_North_B                                 2013   7
Chandeleur_North_F                                 2015   7
Chandeleur_South_A                                 2012   7
Chandeleur_South_A                                 2021   7
Channel_Key                                        2010   7
Comfort_Island                                     2018   7
Cowtrap_Lake_A                                     2021   7
Cowtrap_Lake_B                                     2021   7
Crawl_Key                                          2010   7
Dauphin_Island_3                                   2010   7
Dry_Bread_Island                                   2021   7
Fricot_Bayou_Island                                2010   7
Gosier_Islands_South                               2015   7
Green_Hill_Spoils_A                                2021   7
Green_Island_Spoils_F                              2021   7
Green_Island_Spoils_G                              2021   7
Green_Island_Spoils_L                              2021   7
Heron_Island                                       2010   7
Heron_Island                                       2015   7
Hog_Island_Complex_East_Islands                    2021   7
Horn_Island                                        2021   7
Isle_au_Pitre                                      2010   7
Isle_au_Pitre                                      2015   7
Little_Mud_Grass_Island                            2018   7
Manilla_Island                                     2012   7
Pepperfish_Key                                     2021   7
Pine_Island_Sound_2                                2010   7
Rachel_Key                                         2010   7
Saint_Andrews_State_Park_Gator_Lake                2021   7
Second_Chain_of_Islands_I                          2010   7
Shell_Island_East_B                                2011   7
Skimmer_Island_Nueces_Bay                          2021   7
Terrapin_Island                                    2012   7
Avocet_Island                                      2013   6
Barataria_Bay_10                                   2010   6
Battery_McIntosh                                   2015   6
Bayou_Platte_Island_South                          2012   6
Bay_Ronquille_Northeast_Island                     2011   6
Bay_Ronquille_Northwest_Island                     2015   6
Beauregard_Island                                  2010   6
Beauregard_Island                                  2013   6
Biloxi_North_10_A                                  2013   6
Biloxi_North_14                                    2010   6
Biloxi_North_27                                    2011   6
Biloxi_North_30_B                                  2010   6
Biloxi_North_30_B                                  2011   6
Biloxi_North_30_B                                  2012   6
Biloxi_North_36                                    2011   6
Biloxi_North_40                                    2015   6
Biloxi_North_41                                    2011   6
Biloxi_South_10_D                                  2011   6
Biloxi_South_10_D                                  2015   6
Biloxi_South_14                                    2018   6
Biloxi_South_4_B                                   2015   6
Biloxi_South_5_A                                   2018   6
Biloxi_South_9                                     2012   6
Birdsfoot_East_3                                   2013   6
Birdsfoot_West_4                                   2015   6
Birdsfoot_West_5                                   2018   6
Brush_Island                                       2021   6
Chandeleur_North_A                                 2011   6
Chandeleur_North_C                                 2013   6
Chandeleur_North_H                                 2011   6
Chandeleur_South_E                                 2015   6
Comfort_Island                                     2021   6
Coon_Island                                        2010   6
Dauphin_Island_1                                   2010   6
Dauphin_Island_5                                   2011   6
Door_Point_Lagoon_1                                2012   6
Edwards_Islands_Southeast                          2010   6
Green_Island_Spoils_C                              2021   6
Green_Island_Spoils_E                              2021   6
Hell_Pass_Coast_D                                  2015   6
Heron_Island                                       2013   6
Lanark_Reef-Pelican_Lump                           2021   6
Lanark_Reef_West                                   2013   6
Manilla_Island                                     2015   6
Mayes_Lake_North                                   2021   6
Navarre_Causeway_A                                 2021   6
Northeast_Mansfield_Intersection_Spoil             2021   6
Palm_Key                                           2010   6
Pelican_Island_Tampa_Bay                           2010   6
Point_au_Fer                                       2021   6
Redfish_Bend                                       2011   6
Rollover_Bay_A                                     2021   6
Rollover_Bay_C                                     2021   6
Saint_Andrews_State_Park_Buttonwood_Marsh          2021   6
Saint_Martins_Key_A                                2010   6
Tern_Island                                        2021   6
Turtle_Pen_Isle                                    2015   6
Apalachicola_Bird_Island                           2021   5
Arroyo_Colorado_Spoils_B2                          2021   5
Audubon_Island                                     2011   5
Barataria_Bay_3                                    2012   5
Bastian_Island                                     2012   5
Battery_McIntosh                                   2011   5
Bayou_Platte_Island_South                          2010   5
Bay_Ronquille_Northeast_Island                     2010   5
Belle_Pass_Pond                                    2021   5
Biloxi_North_10_B                                  2013   5
Biloxi_North_10_D                                  2011   5
Biloxi_North_11                                    2010   5
Biloxi_North_14                                    2021   5
Biloxi_North_26                                    2015   5
Biloxi_North_37                                    2021   5
Biloxi_South_1                                     2010   5
Biloxi_South_1                                     2011   5
Biloxi_South_10_B                                  2012   5
Biloxi_South_11                                    2015   5
Biloxi_South_17                                    2015   5
Biloxi_South_4_B                                   2012   5
Biloxi_South_5_A                                   2013   5
Birdsfoot_West_1                                   2012   5
Birdsfoot_West_2                                   2011   5
Blackburn_Bay_Island_North                         2010   5
Cat_Bay_South_Island                               2013   5
Chandeleur_North_D                                 2011   5
Chandeleur_North_G                                 2013   5
Chandeleur_North_H                                 2021   5
Chandeleur_South_A                                 2013   5
Chandeleur_South_C                                 2010   5
Chandeleur_South_D                                 2018   5
Cottrell_Key                                       2010   5
Crooked_Island_North                               2021   5
Crystal_River_Energy_Canal_Spoil                   2010   5
Door_Point_Lagoon_2                                2010   5
Drum_Bay_Islands_6                                 2010   5
East_Flats_Spoil                                   2021   5
East_Island                                        2018   5
Green_Island_Spoils_B                              2021   5
Isle_Aux_Herbes                                    2021   5
Lanark_Reef-Pelican_Lump                           2015   5
Lanark_Reef_West                                   2012   5
Manilla_Island                                     2013   5
Marco_Island                                       2010   5
Martin_Island                                      2011   5
Martin_Island                                      2021   5
Pelican_Island                                     2013   5
Raccoon_Island_West                                2010   5
Redfish_Bend                                       2013   5
Saint_Martins_Key_C                                2010   5
Sandy_Key                                          2010   5
Tarpon_Bay_Island                                  2010   5
Terrapin_Island                                    2011   5
Vermilion_Bay_1                                    2010   5
Anderson_Point_Island                              2015   4
Audubon_Island                                     2012   4
Barataria_Bay_5_AB                                 2018   4
Battery_McIntosh                                   2012   4
Battery_McIntosh                                   2013   4
Bayou_Platte_Island_South                          2021   4
Bay_Ronquille_Northeast_Island                     2012   4
Bay_Ronquille_Northwest_Island                     2013   4
Beauvoir                                           2013   4
Biloxi_North_10_C                                  2011   4
Biloxi_North_10_C                                  2015   4
Biloxi_North_10_D                                  2012   4
Biloxi_North_11                                    2012   4
Biloxi_North_25                                    2010   4
Biloxi_North_26                                    2018   4
Biloxi_North_34                                    2010   4
Biloxi_North_35                                    2012   4
Biloxi_North_35                                    2018   4
Biloxi_South_10_B                                  2021   4
Biloxi_South_14                                    2015   4
Biloxi_South_15                                    2013   4
Biloxi_South_2                                     2010   4
Biloxi_South_4_A                                   2012   4
Birdsfoot_West_1                                   2010   4
Bird_Keys_Crystal_Bay                              2010   4
Blackburn_Bay_Island_South                         2010   4
Boca_Grande_Key                                    2010   4
Carl_Ross_Key                                      2010   4
Chandeleur_North_A                                 2010   4
Chandeleur_North_A                                 2018   4
Chandeleur_North_D                                 2012   4
Chandeleur_North_E                                 2021   4
Chandeleur_North_F                                 2018   4
Chandeleur_North_G                                 2015   4
Chandeleur_North_I                                 2012   4
Chandeleur_South_B                                 2021   4
Dauphin_Island_4                                   2011   4
Gosier_Islands_South                               2010   4
Hell_Pass_Coast_D                                  2018   4
Hillsborough_Channel_Spoil_Island                  2010   4
Isle_au_Pitre                                      2011   4
